NWC Source | BQ Sheet | Revit Category | Type Name | Instance Count
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
