
=== 10.1 Non-CR Elect. ===
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | TUM 480V ICOG-79 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | TUM 480V ICOG-80 × 1
  Electrical Equipment   | PROPOSED FOR NORMAL SUPPLY | PROPOSED FOR EMERGENCY SUPPLY × 1
  Electrical Equipment   | PROPOSED FOR NORMAL SUPPLY | mh_SSB × 1
  Electrical Equipment   | TAP OF BOX | TAP OF BOX × 113
  Electrical Equipment   | mh_@E_XMFR | mh_@E_XMFR 630 kVA 2 × 4
  Electrical Equipment   | mh_Equipment_Grating1 | mezz level grating 10 × 1
  Electrical Equipment   | mh_Equipment_Grating1 | mezz level grating 8 × 3
  Electrical Equipment   | mh_Equipment_Grating1 | mezz level grating 9 × 2
  Electrical Equipment   | mh_LCS | SDS-1-F26-R3-xx-P1-xx-xx-PM4 × 18
  Electrical Equipment   | mh_PanelStand | 1455Lx900Wx1200H 2 × 7
  Electrical Equipment   | mh_SSBF | BATTERY-125kva ups × 1
  Electrical Equipment   | mh_SSBF | BATTERY-175kva ups × 1
  Electrical Equipment   | mh_SSBF | BATTERY-200kva ups × 2

=== 11.1 INTERNAL HYDRANT SYSTEM ===
  Plumbing Equipment     | FA_DPS Switch | FA_DPS Switch [FPIG 1] × 2

=== 2.1 Civil Works ===
  Floors                 | Floor | dummy floor 2 × 1
  Structural Foundations | M_Footing-Rectangular | mu_@S_FUDN_F1_2250x2250x400mm × 2
  Structural Foundations | mh_LGHT_StreetLight | mh_LGHT_StreetLight_9-STR PEDESTAL × 4

=== 2.3 PHE Works ===
  Plumbing Equipment     | mh_P_Chamber | 450x450x600 × 1
  Plumbing Equipment     | mh_P_Chamber | 600x600x600 × 1
  Plumbing Fixtures      | Drain_Shower_RadiantAustralia_Grate | Black 900mm Length + 38mm Waste (316-BLK-RGL-400-38) 2 × 9
  Plumbing Fixtures      | Plumbing_Drainage_COTTO_CT6406Z4P | Rail Drain for Ø2" PVC Drain Pipe (10x100 cm.) × 1
  Plumbing Fixtures      | Shafety Shower Open Type | Shafety Shower Open Type × 2
  Plumbing Fixtures      | mh_P_Eye safety shower | mh_P_Safety shower × 9
  Plumbing Fixtures      | mh_P_Multi Floor Drain | MFD 50mm × 13
  Plumbing Fixtures      | mh_P_Safety shower | mh_P_Safety shower × 11

=== 3. Structure ===
  Floors                 | Floor | 100MM SLAB × 1
  Floors                 | Floor | 100mm cover × 3
  Floors                 | Floor | 200mm THK Deck Slab × 2
  Floors                 | Floor | 300thk Slab × 2
  Floors                 | Floor | Generic 100 × 1
