Sheet,WBS,S.NO,Description,Unit,Qty
"5.1 Non-CR HVAC","5.1","","Insulation Thickness HW System: 
Dia (mm) 20-600- 50 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",176
"5.1 Non-CR HVAC","5.1","","250 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness HW System: 
Dia (mm) 20-600- 50 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness HW System: 
Dia (mm) 20-600- 50 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness HW System: 
Dia (mm) 20-600- 50 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness HW System: 
Dia (mm) 20-600- 50 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness HW System: 
Dia (mm) 20-600- 50 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",4
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",65
"5.1 Non-CR HVAC","5.1","","Insulation Thickness HW System: 
Dia (mm) 20-600- 50 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",6
"5.1 Non-CR HVAC","5.1","","50 MM NB","Rmt",105
"5.1 Non-CR HVAC","5.1","a","MSI1-M-FY14-HVAC-MAU5
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","a","MSI1-M-FY15-HVAC-MAU6
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","a","MSI1-M-FY14-HVAC-MAU7
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","a","MSI1 -M-FYI 5-HVAC-MAU8
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","a","MSI1-1-FW16-HVAC-AHU45
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","a","MSI1-l-FW17-HVAC-AHU46
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","a","MSI1-M-CD1-HVAC-MAU6(W),7(S)
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","65 MM NB","Nos",8
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",8
"5.1 Non-CR HVAC","5.1","a","MS11-M-CA3-HVAC-MAU8(W)9(S)
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",8
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",8
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",8
"5.1 Non-CR HVAC","5.1","a","MSI1-M-CC4-HVAC-AHU28
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",4
"5.1 Non-CR HVAC","5.1","a","MS11-M-CC5-HVAC-AHU29
High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",4
"5.1 Non-CR HVAC","5.1","b","MSI1-M-FY14-HVAC-MAU5
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","b","MSI1-M-FY15-HVAC-MAU6
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","b","MSI1-M-FY14-HVAC-MAU7
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","b","MSI1-M-FY14-HVAC-MAU5
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","b","MSI1-1-FW16-HVAC-AHU45
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","b","MSI1-l-FW17-HVAC-AHU46
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","b","MSI1-M-CD1-HVAC-MAU6(W),7(S)
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",24
"5.1 Non-CR HVAC","5.1","","40 MM NB","Nos",8
"5.1 Non-CR HVAC","5.1","b","MS11-M-CA3-HVAC-MAU8(W)9(S)
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",24
"5.1 Non-CR HVAC","5.1","b","MSI1-M-CC4-HVAC-AHU28
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",5
"5.1 Non-CR HVAC","5.1","b","MS11-M-CC5-HVAC-AHU29
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",5
"5.1 Non-CR HVAC","5.1","b","MSI1-1-CA1-HVAC-EQP1
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","b","MSI1-1-CA1-HVAC-EQP2
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","b","MSI1-1-CA1-HVAC-EQP3
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","b","MSI1-1-CA1-HVAC-EQP4
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","b","MSI1-M-CA4-HVAC-FCU1(W)
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","b","MSI1-M-CA4-HVAC-FCU2(S)
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","b","HPCDA Compressor In Mechanical Room, FAB Building
Ball Valve","",0
"5.1 Non-CR HVAC","5.1","","40 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","c","MSI1-M-FY14-HVAC-MAU5
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","c","MSI1-M-FY15-HVAC-MAU6
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","c","MSI1-M-FY14-HVAC-MAU7
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","c","MSI1-M-FY15-HVAC-MAU8
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","c","MSI1-M-FW16-HVAC-AHU-45
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","c","MSI1-M-FW17-HVAC-AHU-46
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","c","MSI1-M-CD1-HVAC-MAU6(W),7(S)
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","40 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","65 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","c","MS11-M-CA3-HVAC-MAU8(W)9(S)
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","c","MSI1-M-CC4-HVAC-AHU28
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","c","MS11-M-CC5-HVAC-AHU29
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","c","MSI1-1-CA1-HVAC-EQP1
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","c","MSI1-1-CA1-HVAC-EQP2
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","c","MSI1-1-CA1-HVAC-EQP3
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","c","MSI1-1-CA1-HVAC-EQP4
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","c","MS11-M-CA4-HVAC-FCU1(W)
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","c","MS11-M-CA4-HVAC-FCU2(S)
Y-Strainers","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","d","MSI1-M-FY14-HVAC-MAU5
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-M-FY15-HVAC-MAU6
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-M-FY14-HVAC-MAU7
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-M-FY15-HVAC-MAU8
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-M-FW16-HVAC-AHU-45
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-M-FW17-HVAC-AHU-46
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-M-CD1-HVAC-MAU6(W),7(S)
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","40 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","65 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MS11-M-CA3-HVAC-MAU8(W)9(S)
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-M-CC4-HVAC-AHU28
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MS11-M-CC5-HVAC-AHU29
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-1-CA1-HVAC-EQP1
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-1-CA1-HVAC-EQP2
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-1-CA1-HVAC-EQP3
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MSI1-1-CA1-HVAC-EQP4
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MS11-M-CA4-HVAC-FCU1(W)
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","d","MS11-M-CA4-HVAC-FCU2(S)
Flexible Bellows","",0
"5.1 Non-CR HVAC","5.1","","SITC of Flexible bellows at inlet& outlet of pumps/AHUs      
Double arch flexible bellows     
1. Body: Neoprene - flexible rubber with metal and textile reinforcements)
2. End Connections: Steel flanges drilled to align with Classes 150 and 300 steel flanges
Working pressure - PN 20","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-FY14-HVAC-MAU5
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-FY15-HVAC-MAU6
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-FY14-HVAC-MAU7
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-FY15-HVAC-MAU8
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-FW16-HVAC-AHU-45
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-FW17-HVAC-AHU-46
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-CD1-HVAC-MAU6(W),7(S)
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MS11-M-CA3-HVAC-MAU8(W)9(S)
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MSI1-M-CC4-HVAC-AHU28
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","e","MS11-M-CC5-HVAC-AHU29
Automatic air vent","",0
"5.1 Non-CR HVAC","5.1","","SITC of Auto purge type Automatic air vent. 
Body - Brass
Float - PP
Isolation valve - Yes - Ball valve.
Max operating pressure - PN 16
Size - 1 inch dia
Operating temperature - 0 to 45 deg. C","",0
"5.1 Non-CR HVAC","5.1","","25 mm dia","Nos",0
"5.1 Non-CR HVAC","5.1","f","MSI1-M-FY14-HVAC-MAU5
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","f","MSI1-M-FY15-HVAC-MAU6
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","f","MSI1-M-FY14-HVAC-MAU7
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","f","MSI1-M-FY15-HVAC-MAU8
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","f","MSI1-M-FW16-HVAC-AHU-45
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","f","MSI1-M-FW17-HVAC-AHU-46
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","f","MSI1-M-CD1-HVAC-MAU6(W),7(S)
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","40 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","65 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","f","MS11-M-CA3-HVAC-MAU8(W)9(S)
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","f","MSI1-M-CC4-HVAC-AHU28
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",1
"5.1 Non-CR HVAC","5.1","f","MS11-M-CC5-HVAC-AHU29
Motorized Pressure Independent modulating cum balancing  valve - 2 Way","",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Nos",1
